X,actlevel,WEEK
2012-1342,1.0769230769230769,42.0
2018-1942,1.3773584905660377,42.0
2008-0942,1.0,42.0
2009-1042,8.846153846153847,42.0
2013-1442,1.2264150943396226,42.0
2016-1742,1.0943396226415094,42.0
2010-1142,1.0,42.0
2019-2042,1.9444444444444444,42.0
2015-1642,1.1886792452830188,42.0
2014-1542,1.3773584905660377,42.0
2017-1843,1.490566037735849,43.0
2019-2043,2.074074074074074,43.0
2013-1443,1.4528301886792452,43.0
2011-1243,1.1346153846153846,43.0
2008-0943,1.0588235294117647,43.0
2018-1943,1.490566037735849,43.0
2015-1643,1.1320754716981132,43.0
2012-1343,1.1153846153846154,43.0
2009-1043,8.903846153846153,43.0
2016-1743,1.2264150943396226,43.0
2010-1143,1.0192307692307692,43.0
2014-1543,1.3773584905660377,43.0
2014-1544,1.4150943396226414,44.0
2015-1644,1.2264150943396226,44.0
2018-1944,1.6415094339622642,44.0
2009-1044,8.442307692307692,44.0
2013-1444,1.4339622641509433,44.0
2010-1144,1.0576923076923077,44.0
2017-1844,1.830188679245283,44.0
2011-1244,1.1538461538461537,44.0
2019-2044,2.462962962962963,44.0
2008-0944,1.1176470588235294,44.0
2016-1744,1.2641509433962264,44.0
2012-1344,1.25,44.0
2008-0945,1.1176470588235294,45.0
2009-1045,7.211538461538462,45.0
2010-1145,1.1346153846153846,45.0
2011-1245,1.1346153846153846,45.0
2017-1845,2.0943396226415096,45.0
2018-1945,1.849056603773585,45.0
2015-1645,1.320754716981132,45.0
2016-1745,1.4150943396226414,45.0
2012-1345,1.4807692307692308,45.0
2013-1445,1.6415094339622642,45.0
2019-2045,2.962962962962963,45.0
2014-1545,1.6037735849056605,45.0
2008-0946,1.1176470588235294,46.0
2018-1946,2.188679245283019,46.0
2015-1646,1.3018867924528301,46.0
2009-1046,5.519230769230769,46.0
2016-1746,1.5660377358490567,46.0
2010-1146,1.3653846153846154,46.0
2014-1546,1.7547169811320755,46.0
2019-2046,3.759259259259259,46.0
2017-1846,2.452830188679245,46.0
2012-1346,1.7307692307692308,46.0
2013-1446,1.679245283018868,46.0
2011-1246,1.1346153846153846,46.0
2017-1847,2.69811320754717,47.0
2010-1147,1.5,47.0
2011-1247,1.1923076923076923,47.0
2009-1047,4.076923076923077,47.0
2019-2047,4.074074074074074,47.0
2015-1647,1.6981132075471699,47.0
2016-1747,1.8113207547169812,47.0
2014-1547,2.207547169811321,47.0
2013-1447,1.7358490566037736,47.0
2008-0947,1.196078431372549,47.0
2012-1347,2.576923076923077,47.0
2018-1947,2.641509433962264,47.0
2012-1348,2.4615384615384617,48.0
2019-2048,5.203703703703703,48.0
2008-0948,1.3137254901960784,48.0
2009-1048,2.923076923076923,48.0
2015-1648,1.4150943396226414,48.0
2014-1548,2.830188679245283,48.0
2018-1948,2.4716981132075473,48.0
2010-1148,1.3269230769230769,48.0
2011-1248,1.1730769230769231,48.0
2017-1848,2.8679245283018866,48.0
2013-1448,2.0943396226415096,48.0
2016-1748,1.6981132075471699,48.0
2011-1249,1.2115384615384615,49.0
2015-1649,1.509433962264151,49.0
2017-1849,3.4339622641509435,49.0
2008-0949,1.2941176470588236,49.0
2016-1749,1.7735849056603774,49.0
2019-2049,5.222222222222222,49.0
2012-1349,3.4038461538461537,49.0
2014-1549,3.188679245283019,49.0
2013-1449,2.4339622641509435,49.0
2018-1949,2.6037735849056602,49.0
2010-1149,1.6153846153846154,49.0
2009-1049,2.4615384615384617,49.0
2008-0950,1.2745098039215685,50.0
2015-1650,1.6226415094339623,50.0
2013-1450,2.547169811320755,50.0
2017-1850,4.452830188679245,50.0
2014-1550,4.6415094339622645,50.0
2018-1950,3.509433962264151,50.0
2016-1750,2.3207547169811322,50.0
2010-1150,2.0576923076923075,50.0
2011-1250,1.3269230769230769,50.0
2012-1350,4.5576923076923075,50.0
2019-2050,6.132075471698113,50.0
2009-1050,2.173076923076923,50.0
2018-1951,4.528301886792453,51.0
2015-1651,2.1132075471698113,51.0
2019-2051,7.019230769230769,51.0
2009-1051,2.519230769230769,51.0
2014-1551,6.2075471698113205,51.0
2010-1151,2.75,51.0
2016-1751,3.018867924528302,51.0
2017-1851,5.867924528301887,51.0
2013-1451,3.792452830188679,51.0
2011-1251,1.4615384615384615,51.0
2008-0951,1.196078431372549,51.0
2012-1351,6.019230769230769,51.0
2014-1552,7.452830188679245,52.0
2016-1752,4.150943396226415,52.0
2013-1452,6.153846153846154,52.0
2008-0952,1.4901960784313726,52.0
2015-1652,2.150943396226415,52.0
2017-1852,7.0754716981132075,52.0
2018-1952,6.2075471698113205,52.0
2010-1152,2.9615384615384617,52.0
2009-1052,2.6346153846153846,52.0
2012-1352,8.134615384615385,52.0
2011-1252,1.8653846153846154,52.0
2008-0953,1.411764705882353,53.0
2014-1553,7.30188679245283,53.0
