,actlevel,X,WEEK,SEASON
1890,7,2008-095,5,2008-09
1891,7,2008-095,5,2008-09
1892,9,2008-095,5,2008-09
1893,10,2008-095,5,2008-09
1894,10,2008-095,5,2008-09
1895,10,2008-095,5,2008-09
1896,1,2008-096,6,2008-09
1897,1,2008-096,6,2008-09
1898,1,2008-096,6,2008-09
1899,1,2008-096,6,2008-09
1900,1,2008-096,6,2008-09
1901,1,2008-096,6,2008-09
1902,1,2008-096,6,2008-09
1903,1,2008-096,6,2008-09
1904,1,2008-096,6,2008-09
1905,1,2008-096,6,2008-09
1906,1,2008-096,6,2008-09
1907,1,2008-096,6,2008-09
1908,1,2008-096,6,2008-09
1909,1,2008-096,6,2008-09
1910,1,2008-096,6,2008-09
1911,1,2008-096,6,2008-09
1912,1,2008-096,6,2008-09
1913,2,2008-096,6,2008-09
1914,2,2008-096,6,2008-09
1915,2,2008-096,6,2008-09
1916,2,2008-096,6,2008-09
1917,3,2008-096,6,2008-09
1918,3,2008-096,6,2008-09
1919,3,2008-096,6,2008-09
1920,3,2008-096,6,2008-09
1921,3,2008-096,6,2008-09
1922,3,2008-096,6,2008-09
1923,3,2008-096,6,2008-09
1924,3,2008-096,6,2008-09
1925,3,2008-096,6,2008-09
1926,4,2008-096,6,2008-09
1927,4,2008-096,6,2008-09
1928,4,2008-096,6,2008-09
1929,4,2008-096,6,2008-09
1930,5,2008-096,6,2008-09
1931,5,2008-096,6,2008-09
1932,5,2008-096,6,2008-09
1933,5,2008-096,6,2008-09
1934,5,2008-096,6,2008-09
1935,6,2008-096,6,2008-09
1936,6,2008-096,6,2008-09
1937,6,2008-096,6,2008-09
1938,6,2008-096,6,2008-09
1939,9,2008-096,6,2008-09
1940,10,2008-096,6,2008-09
1941,10,2008-096,6,2008-09
1942,10,2008-096,6,2008-09
1943,10,2008-096,6,2008-09
1944,10,2008-096,6,2008-09
1945,10,2008-096,6,2008-09
1946,10,2008-096,6,2008-09
1947,1,2008-097,7,2008-09
1948,1,2008-097,7,2008-09
1949,1,2008-097,7,2008-09
1950,1,2008-097,7,2008-09
1951,1,2008-097,7,2008-09
1952,1,2008-097,7,2008-09
1953,1,2008-097,7,2008-09
1954,1,2008-097,7,2008-09
1955,1,2008-097,7,2008-09
1956,1,2008-097,7,2008-09
1957,1,2008-097,7,2008-09
1958,1,2008-097,7,2008-09
1959,1,2008-097,7,2008-09
1960,2,2008-097,7,2008-09
1961,2,2008-097,7,2008-09
1962,2,2008-097,7,2008-09
1963,2,2008-097,7,2008-09
1964,2,2008-097,7,2008-09
1965,2,2008-097,7,2008-09
1966,2,2008-097,7,2008-09
1967,2,2008-097,7,2008-09
1968,2,2008-097,7,2008-09
1969,2,2008-097,7,2008-09
1970,2,2008-097,7,2008-09
1971,3,2008-097,7,2008-09
1972,3,2008-097,7,2008-09
1973,3,2008-097,7,2008-09
1974,3,2008-097,7,2008-09
1975,3,2008-097,7,2008-09
1976,3,2008-097,7,2008-09
1977,4,2008-097,7,2008-09
1978,4,2008-097,7,2008-09
1979,4,2008-097,7,2008-09
1980,4,2008-097,7,2008-09
1981,4,2008-097,7,2008-09
1982,5,2008-097,7,2008-09
1983,5,2008-097,7,2008-09
1984,5,2008-097,7,2008-09
1985,5,2008-097,7,2008-09
1986,5,2008-097,7,2008-09
1987,6,2008-097,7,2008-09
1988,7,2008-097,7,2008-09
1989,7,2008-097,7,2008-09
1990,8,2008-097,7,2008-09
1991,9,2008-097,7,2008-09
1992,9,2008-097,7,2008-09
1993,10,2008-097,7,2008-09
1994,10,2008-097,7,2008-09
1995,10,2008-097,7,2008-09
1996,10,2008-097,7,2008-09
1997,10,2008-097,7,2008-09
1998,1,2008-098,8,2008-09
1999,1,2008-098,8,2008-09
2000,1,2008-098,8,2008-09
2001,1,2008-098,8,2008-09
2002,1,2008-098,8,2008-09
2003,1,2008-098,8,2008-09
2004,1,2008-098,8,2008-09
2005,1,2008-098,8,2008-09
2006,1,2008-098,8,2008-09
2007,1,2008-098,8,2008-09
2008,1,2008-098,8,2008-09
2009,1,2008-098,8,2008-09
2010,1,2008-098,8,2008-09
2011,1,2008-098,8,2008-09
2012,2,2008-098,8,2008-09
2013,2,2008-098,8,2008-09
2014,2,2008-098,8,2008-09
2015,3,2008-098,8,2008-09
2016,3,2008-098,8,2008-09
2017,3,2008-098,8,2008-09
2018,3,2008-098,8,2008-09
2019,3,2008-098,8,2008-09
2020,3,2008-098,8,2008-09
2021,3,2008-098,8,2008-09
2022,3,2008-098,8,2008-09
2023,4,2008-098,8,2008-09
2024,4,2008-098,8,2008-09
2025,4,2008-098,8,2008-09
2026,4,2008-098,8,2008-09
2027,4,2008-098,8,2008-09
2028,4,2008-098,8,2008-09
2029,4,2008-098,8,2008-09
2030,4,2008-098,8,2008-09
2031,5,2008-098,8,2008-09
2032,5,2008-098,8,2008-09
2033,5,2008-098,8,2008-09
2034,5,2008-098,8,2008-09
2035,5,2008-098,8,2008-09
2036,5,2008-098,8,2008-09
2037,6,2008-098,8,2008-09
2038,6,2008-098,8,2008-09
2039,6,2008-098,8,2008-09
2040,6,2008-098,8,2008-09
2041,7,2008-098,8,2008-09
2042,8,2008-098,8,2008-09
